Accession,Bioproject,Last_author,Sequencing_technology,Isolate_Name,Country,Continent,Isolation_source,Ropars_Clade,Proposed_final_clade,Mean_coverage,Mean_depth,Aneuploidy,HOM_pos,HOM_ref,HOM_alt,HET_pos,Missing_pos,frac_missing,frac_HET,PASS_Het,For_Sub_Phylo,Intrapop_ID,Intrapop_removed,MAT_type
SRR19696097,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_21_1,Singapore,Asia,Blood,,23,99.5418875,61.202,0,13907499,13850374,57125,101675,274722,0.019232988,0.00711816,1,0,,0,a/α
SRR19696098,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_18_13,Singapore,Asia,Blood,,1,99.7338,64.0467,0,13861009,13849522,11487,90199,332688,0.023291124,0.00631473,1,0,,0,a/α
SRR19696099,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_20_7,Singapore,Asia,Blood,,11,99.7646625,64.223075,0,13954113,13902261,51852,99091,230692,0.016150496,0.00693725,1,0,,0,a/α
SRR19696100,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_20_6,Singapore,Asia,Blood,,1,99.8653875,54.51075,0,13846079,13832883,13196,89747,348070,0.024368002,0.00628309,1,0,,0,a/α
SRR19696101,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_20_5,Singapore,Asia,Blood,,8,99.668225,69.0183,0,13865281,13806939,58342,90090,328525,0.022999677,0.0063071,1,0,,0,a/α
SRR19696102,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_20_4,Singapore,Asia,Blood,,24,99.5498875,56.7564875,0,13792762,13735994,56768,99289,391845,0.027432642,0.00695111,1,0,,0,a/α
SRR19696103,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_20_3,Singapore,Asia,Blood,,8,99.651975,75.482375,0,13958275,13895181,63094,82330,243291,0.017032538,0.00576383,1,0,,0,a/α
SRR19696104,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_20_2,Singapore,Asia,Blood,,18,99.605875,40.7395375,0,10175518,10138502,37016,77603,4030775,0.282190167,,0,0,,0,a/α
SRR19696105,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_20_1,Singapore,Asia,Blood,,19,99.5602,59.272275,0,13733466,13675339,58127,105875,444555,0.031122811,0.00741219,1,0,,0,a/α
SRR19696106,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_19_9,Singapore,Asia,Blood,,24,99.7911625,66.8044125,0,13935519,13885319,50200,104346,244031,0.017084344,0.00730515,1,0,,0,a/α
SRR19696107,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_19_8,Singapore,Asia,Blood,,18,99.5714625,59.57475,0,13736556,13680307,56249,115323,432017,0.03024504,0.00807364,1,0,,0,a/α
SRR19696108,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_19_7,Singapore,Asia,Blood,,8,99.5426875,37.605025,0,10429868,10386247,43621,53139,3800889,0.266096099,,0,0,,0,a/α
SRR19696109,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_18_12,Singapore,Asia,Blood,,8,99.69055,55.7053875,0,13596919,13543598,53321,92181,594796,0.04164102,0.00645349,1,0,,0,a/α
SRR19696110,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_19_6,Singapore,Asia,Blood,,18,99.6989125,48.46975,0,13239464,13185606,53858,105887,938545,0.065706513,0.00741303,1,0,,0,a/α
SRR19696111,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_19_5,Singapore,Asia,Blood,,20,99.6792375,45.2853,0,13017307,12956409,60898,72340,1194249,0.083608072,0.00506444,1,0,,0,a/α
SRR19696113,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_19_3,Singapore,Asia,Blood,,12,99.6716,71.267475,0,13868133,13808707,59426,98409,317354,0.022217608,0.00688951,1,0,,0,a/α
SRR19696114,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_19_2,Singapore,Asia,Blood,,18,99.6090125,46.460225,0,13208173,13154174,53999,104617,971106,0.067986073,0.00732412,1,0,,0,a/α
SRR19696115,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_19_18,Singapore,Asia,Blood,,18,99.5762375,49.34855,0,13257501,13204779,52722,108867,917528,0.064235136,0.00762166,1,0,,0,a/α
SRR19696116,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_19_17,Singapore,Asia,Blood,,23,99.575375,52.584225,0,13712714,13663452,49262,109456,461726,0.032324934,0.0076629,1,0,,0,a/α
SRR19696118,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_19_15,Singapore,Asia,Blood,,19,99.6256625,49.5694875,0,13520023,13463462,56561,109338,654535,0.045823282,0.00765463,1,0,,0,a/α
SRR19696119,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_19_14,Singapore,Asia,Blood,,23,99.5353125,45.8945,0,12451278,12403876,47402,86221,1746397,0.122263352,0.00603624,1,0,,0,a/α
SRR19696137,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_18_2,Singapore,Asia,Blood,,1,99.7287625,51.6292625,0,13721563,13709783,11780,87429,474904,0.033247512,0.00612081,1,0,,0,a/α
SRR19696148,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_18_15,Singapore,Asia,Blood,,24,99.4622125,42.3100125,0,11693533,11641047,52486,61491,2528872,0.177043574,,0,0,,0,a/α
SRR19696159,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_18_14,Singapore,Asia,Blood,,12,99.6894625,56.6618375,0,13783848,13730091,53757,104209,395839,0.027712257,0.00729556,1,0,,0,a/α
SRR19696167,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_19_13,Singapore,Asia,Blood,,20,99.7553,53.8759875,0,13521525,13468423,53102,110759,651612,0.045618646,0.00775412,1,0,,0,a/α
SRR19696178,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_19_12,Singapore,Asia,Blood,,4,99.6299375,56.838725,0,13101966,13046639,55327,88565,1093365,0.076545293,0.00620034,1,0,,0,a/α
SRR19696189,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_19_11,Singapore,Asia,Blood,,8,99.587225,73.96665,0,13753909,13696022,57887,115506,414481,0.029017363,0.00808645,1,0,,0,a/α
SRR19696200,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_19_10,Singapore,Asia,Blood,,23,99.552075,49.0273625,0,12868252,12818264,49988,89135,1326509,0.09286745,0.00624024,1,0,,0,a/α
SRR19696211,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_19_1,Singapore,Asia,Blood,,23,99.5509125,71.4875,0,13423057,13373962,49095,104864,755975,0.052924986,0.00734141,1,0,,0,a/α
SRR19696222,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_18_9,Singapore,Asia,Blood,,20,99.7172875,63.3408125,0,13847464,13792377,55087,106090,330342,0.023126884,0.00742725,1,0,,0,a/α
SRR19696233,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_18_8,Singapore,Asia,Blood,,20,99.6264875,46.3574875,0,13148789,13096580,52209,88719,1046388,0.073256484,0.00621112,1,0,,0,a/α
SRR19696244,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_18_7,Singapore,Asia,Blood,,20,99.6316375,46.1723875,0,13206984,13158666,48318,97388,979524,0.068575408,0.00681803,1,0,,0,a/α
SRR19696255,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_18_6,Singapore,Asia,Blood,,25,99.5444,55.0594625,0,13756788,13699051,57737,109733,417375,0.029219969,0.00768229,1,0,,0,a/α
SRR19696266,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_18_5,Singapore,Asia,Blood,,8,99.6837875,62.47105,0,13915403,13854151,61252,87324,281169,0.019684335,0.00611346,1,0,,0,a/α
SRR19696267,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_18_10,Singapore,Asia,Blood,,S,99.7145625,33.4740875,0,7602499,7565365,37134,48897,6632500,0.4643341,,0,0,,0,a/α
SRR19696268,PRJNA848263,Chew et al. 2023,Illumina NovaSeq 6000,A_18_1,Singapore,Asia,Blood,,9,99.8109125,55.0519625,0,13255336,13206094,49242,109208,919352,0.064362832,0.00764553,1,0,,0,a/α
SRR2088860,PRJNA271803,NA,Illumina MiSeq,Y1_a,Canada,North America,Oral,,4,99.481975,44.6440625,0,10747944,10705218,42726,70692,3465260,0.242599078,,0,0,,0,a/α
SRR2088861,PRJNA271803,NA,Illumina MiSeq,Y1_b,Canada,North America,Oral,,4,99.5684375,50.1031,0,11445142,11398547,46595,76107,2762647,0.193409907,,0,0,,0,a/α
SRR2088862,PRJNA271803,NA,Illumina MiSeq,Y1_c,Canada,North America,Oral,,4,99.553875,47.4178625,0,11097702,11052046,45656,72147,3114047,0.218011038,,0,0,,0,a/α
SRR2088863,PRJNA271803,NA,Illumina MiSeq,Y1_d,Canada,North America,Oral,,4,99.501975,43.940625,0,9905196,9865631,39565,62465,4316235,0.302174911,,0,0,,0,a/α
SRR21359688,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,813-25,USA,North America,Oral,,1,99.837225,42.2636375,0,10096352,10086520,9832,53288,4134256,0.289434759,,0,0,,0,a/α
SRR21359694,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,882-62,USA,North America,Oral,,1,99.86055,56.3762375,0,13749540,13737893,11647,79551,454805,0.031840403,0.00556928,1,0,IP28,1,a/α
SRR21359695,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,882-52,USA,North America,Oral,,1,99.8707875,46.5582625,0,11804967,11795153,9814,65556,2413373,0.168957615,,0,0,IP28,0,a/α
SRR21359696,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,838-2,USA,North America,Oral,,1,99.88205,48.79045,0,12486155,12476757,9398,74037,1723704,0.120674639,0.00518325,1,0,,0,a/α
SRR21359698,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,814-186,USA,North America,Gastrointestinal,,1,99.9239375,32.071325,0,4880203,4873884,6319,23099,9380594,0.656725168,,0,0,IP23,1,a/α
SRR21359701,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,882-46,USA,North America,Oral,,20,99.6541,89.42835,0,13988449,13929764,58685,98735,196712,0.013771593,0.00691233,1,0,IP28,0,a/α
SRR21359702,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,874-2,USA,North America,Oral,,12,99.7094,73.89865,0,13930547,13869831,60716,91690,261659,0.018318462,0.00641912,1,0,IP27,0,a/α
SRR21359704,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,831-2,USA,North America,Gastrointestinal,,1,99.8753875,80.5902125,chr6,14085961,14072704,13257,79874,118061,0.008265322,0.00559189,1,0,,0,a/α
SRR21359705,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,871-1,USA,North America,Oral,,11,99.8142625,171.071125,0,14121123,14068504,52619,98988,63785,0.004465518,0.00693004,1,0,,0,a/α
SRR21359707,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,824-51,USA,North America,Oral,,3,99.58525,118.386,0,14064489,13996139,68350,87519,131888,0.009233335,0.00612711,1,0,,0,a/α
SRR21359708,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,872-27,USA,North America,Oral,,1,99.865875,82.7515625,0,14019375,14004227,15148,80263,184258,0.012899702,0.00561913,1,0,IP26,0,a/α
SRR21359709,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,833-19,USA,North America,Gastrointestinal,,1,99.8928625,132.341,0,14141231,14129578,11653,88430,54235,0.003796933,0.00619089,1,0,IP25,1,a/α
SRR21359710,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,851-2,USA,North America,Gastrointestinal,,1,99.819075,106.978375,0,14140965,14118702,22263,71886,71045,0.004973783,0.00503266,1,0,,0,a/α
SRR21359712,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,811-7,USA,North America,Oral,,20,99.641925,70.7607625,0,13982906,13924861,58045,98516,202474,0.014174984,0.006897,1,0,IP22,0,a/α
SRR21359713,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,830-22,USA,North America,Oral,,8,99.6664125,99.8465875,0,14072152,14011583,60569,89724,122020,0.008542487,0.00628148,1,0,IP24,0,a/α
SRR21359714,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,874-4,USA,North America,Oral,,12,99.7064,104.343888,0,14064077,14001140,62937,92557,127262,0.008909474,0.00647981,1,0,IP27,1,a/α
SRR21359715,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,859-2,USA,North America,Gastrointestinal,,24,99.7873875,62.4838,0,13829847,13778454,51393,110189,343860,0.024073264,0.00771421,1,1,,0,a/α
SRR21359717,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,811-36,USA,North America,Oral,,4,99.745275,149.12975,0,14088275,14019381,68894,84582,111039,0.007773719,0.00592149,1,0,IP22,0,a/α
SRR21359718,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,811-1,USA,North America,Oral,,1,99.8694625,122.505625,0,14142649,14129867,12782,83779,57468,0.004023272,0.00586528,1,0,,0,a/α
SRR21359719,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,888-1,USA,North America,Oral,,24,99.7209625,46.1699625,0,12385168,12339031,46137,88278,1810450,0.126747632,0.00618025,1,1,,0,a/α
SRR21359720,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,830-26,USA,North America,Oral,,8,99.65385,80.634275,0,14025592,13965431,60161,89009,169295,0.011852159,0.00623142,1,0,IP24,1,a/α
SRR21359721,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,833-21,USA,North America,Oral,,1,99.895775,154.701125,0,14148271,14136567,11704,88534,47091,0.00329679,0.00619817,1,0,IP25,0,a/α
SRR21359722,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,880-2,USA,North America,Gastrointestinal,,24,99.75845,86.506725,0,14043184,13986197,56987,106358,134354,0.009405977,0.00744601,1,1,,0,a/α
SRR21359723,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,814-168,USA,North America,Gastrointestinal,,1,99.94655,98.4008125,0,14120068,14102020,18048,76479,87349,0.006115208,0.00535421,1,0,IP23,0,a/α
SRR21359724,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,872-60,USA,North America,Oral,,1,99.8526625,98.7152875,0,14133369,14114569,18800,76225,74302,0.005201802,0.00533643,1,0,IP26,1,a/α
SRR21359725,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,814-45,USA,North America,Oral,,1,99.9472,93.9211125,0,14111245,14092981,18264,75730,96921,0.006785334,0.00530177,1,0,IP23,1,a/α
SRR21359728,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,833-4,USA,North America,Gastrointestinal,,1,99.8840125,59.5245125,0,13905180,13894514,10666,85772,292944,0.02050869,0.0060048,1,0,IP25,0,a/α
SRR21359729,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,811-62,USA,North America,Gastrointestinal,,1,99.859325,38.596575,0,10096301,10088107,8194,54315,4133280,0.289366431,,0,0,IP22,0,a/α
SRR21359730,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,814-147,USA,North America,Oral,,1,99.9508625,94.6128125,0,14151519,14133212,18307,76989,55388,0.003877654,0.00538992,1,0,IP23,1,a/α
SRR21359731,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,814-42,USA,North America,Oral,,1,99.9522375,153.552,0,14172087,14153500,18587,76749,35060,0.002454512,0.00537311,1,0,IP23,0,a/α
SRR21359732,PRJNA875200¬¨‚Ä†,Anderson et al. 2023,Illumina NovaSeq 6000,847-3,USA,North America,Gastrointestinal,,3,99.6886875,128.2835,0,14061849,13998064,63785,93753,128294,0.008981723,0.00656355,1,0,,0,a/α
SRR22908971,PRJNA889397,Mohammadi et al. 2023,Illumina NovaSeq 6000,BL167,Canada,North America,Oral,,3,99.4629,435.519,0,14114546,14046362,68184,62809,106541,0.007458819,0.00439719,1,0,,0,a/α
SRR22908972,PRJNA889397,Mohammadi et al. 2023,Illumina MiSeq,BL152,Canada,North America,Oral,,1,99.813275,276.395375,0,14153841,14140515,13326,81057,48998,0.003430297,0.00567471,1,0,,0,a/α
SRR22908973,PRJNA889397,Mohammadi et al. 2023,Illumina NovaSeq 6000,ATCC 36802,NA,NA,,,1,99.8559375,427.452125,0,14168849,14158604,10245,76225,38822,0.002717886,0.00533643,1,0,,0,a/α
SRR22908974,PRJNA889397,Mohammadi et al. 2023,Illumina NovaSeq 6000,BL296,Canada,North America,Oral,,3,99.64215,497.611875,0,14139477,14068869,70608,63699,80720,0.005651119,0.0044595,1,0,,0,a/α
SRR22908975,PRJNA889397,Mohammadi et al. 2023,Illumina NovaSeq 6000,BL007,Canada,North America,Oral,,2,99.6556125,614.003875,0,14126705,14066764,59941,81985,75206,0.00526509,0.00573968,1,0,,0,a/α
SRR22908976,PRJNA889397,Mohammadi et al. 2023,Illumina NovaSeq 6000,BL266,Canada,North America,Oral,,9,99.8674875,350.416875,0,14124919,14072075,52844,103598,55379,0.003877023,0.00725278,1,0,,0,a/α
SRR22908977,PRJNA889397,Mohammadi et al. 2023,Illumina NovaSeq 6000,BL273,Canada,North America,Skin,,1,99.8314375,385.08725,0,14160602,14149148,11454,77811,45483,0.003184215,0.00544746,1,0,,0,a/α
SRR22908978,PRJNA889397,Mohammadi et al. 2023,Illumina NovaSeq 6000,BL288,Canada,North America,Skin,,1,99.7622125,341.8,0,14155375,14144653,10722,82818,45703,0.003199617,0.005798,1,0,,0,a/α
SRR22908979,PRJNA889397,Mohammadi et al. 2023,Illumina NovaSeq 6000,JMN70,Canada,North America,,,1,99.8104125,474.116375,0,14179255,14163270,15985,58383,46258,0.003238472,0.00408733,1,0,,0,a/α
SRR22908980,PRJNA889397,Mohammadi et al. 2023,Illumina NovaSeq 6000,HM1,NA,NA,,,1,99.8941625,573.121,0,14183201,14165358,17843,63131,37564,0.002629815,0.00441973,1,0,,0,a/α
SRR22908981,PRJNA889397,Mohammadi et al. 2023,Illumina NovaSeq 6000,BL300,Canada,North America,Oral,,1,99.71165,49.2214,0,13660447,13646370,14077,81220,542229,0.037960862,0.00568612,1,0,,0,a/α
SRR22908982,PRJNA889397,Mohammadi et al. 2023,Illumina NovaSeq 6000,BL077,Canada,North America,Oral,,9,99.8263375,51.8335,0,13752845,13686265,66580,86884,444167,0.031095648,0.00608265,1,0,,0,a/α
SRR23500520,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT098,USA,North America,Oral,,3,99.44925,56.55395,0,8316005,8280436,35569,49715,5918176,0.414325055,,0,0,IP63,1,a/α
SRR23500521,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT097,USA,North America,Oral,,3,99.4614625,62.750675,0,9351444,9311734,39710,56409,4876043,0.341366459,,0,0,IP63,1,a/α
SRR23500522,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT096,USA,North America,Oral,,3,99.3836625,53.2231375,0,7682193,7650117,32076,44991,6556712,0.459028265,,0,0,IP63,1,a/α
SRR23500523,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT095,USA,North America,Oral,,3,99.3111375,41.9238125,0,6050279,6024797,25482,34428,8199189,0.574016291,,0,0,IP63,1,a/α
SRR23500524,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT094,USA,North America,Oral,,3,99.3607,48.80235,0,7176874,7147484,29390,41544,7065478,0.494646419,,0,0,IP63,1,a/α
SRR23500525,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT093,USA,North America,Oral,,3,99.397225,49.731725,0,7199897,7169723,30174,41733,7042266,0.493021372,,0,0,IP63,0,a/α
SRR23500527,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT091,USA,North America,Oral,,1,99.5496,42.165525,0,5753787,5748380,5407,24953,8505156,0.595436707,,0,0,,0,a/α
SRR23500528,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT010,USA,North America,Oral,,3,99.4915875,33.9681875,0,4501256,4483633,17623,26125,9756515,0.683042988,,0,0,IP35,0,a/α
SRR23500531,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT088,USA,North America,Oral,,1,99.73315,51.1087875,0,8000435,7989464,10971,35641,6247820,0.437403073,,0,0,,0,a/α
SRR23500533,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT086,USA,North America,Oral,,8,99.50995,42.1186125,0,6070953,6047883,23070,29623,8183320,0.572905319,,0,0,IP59,1,a/α
SRR23500534,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT085,USA,North America,Oral,,8,99.54155,49.6394625,0,7130772,7103288,27484,35535,7117589,0.498294653,,0,0,IP59,1,a/α
SRR23500535,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT084,USA,North America,Oral,,8,99.446625,43.4544875,0,5831403,5809374,22029,28108,8424385,0.589782017,,0,0,IP59,0,a/α
SRR23500536,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT083,USA,North America,Oral,,1,99.6869,41.6635875,0,6145801,6138730,7071,28726,8109369,0.56772809,,0,0,IP59,0,a/α
SRR23500537,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT082,USA,North America,Oral,,1,99.63755,40.5092,0,5029607,5024005,5602,25295,9228994,0.646111817,,0,0,IP58,1,a/α
SRR23500538,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT081,USA,North America,Oral,,1,99.7777,57.375225,0,8354426,8345512,8914,43326,5886144,0.41208253,,0,0,IP58,1,a/α
SRR23500540,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT080,USA,North America,Oral,,1,99.5165,48.59705,0,5491864,5486118,5746,27389,8764643,0.613603109,,0,0,IP58,0,a/α
SRR23500541,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT079,USA,North America,Oral,,1,99.7559125,47.6608625,0,6624882,6618104,6778,32237,7626777,0.53394235,,0,0,IP57,1,a/α
SRR23500542,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT078,USA,North America,Oral,,1,99.688225,49.0823,0,5877056,5871063,5993,27669,8379171,0.586616635,,0,0,IP57,0,a/α
SRR23500544,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT076,USA,North America,Oral,,1,99.4288125,39.857825,0,5601673,5593237,8436,21231,8660992,0.606346616,,0,0,IP56,1,a/α
SRR23500545,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT075,USA,North America,Oral,,1,99.418625,41.1804625,0,5825640,5816435,9205,21529,8436727,0.590646067,,0,0,IP56,1,a/α
SRR23500546,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT074,USA,North America,Oral,,1,99.57985,53.57285,0,8500631,8488722,11909,36153,5747112,0.402349051,,0,0,IP56,1,a/α
SRR23500547,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT073,USA,North America,Oral,,1,99.4583375,41.6180125,0,4835397,4826876,8521,17683,9430816,0.660241155,,0,0,IP56,1,a/α
SRR23500548,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT242,USA,North America,Oral,,1,99.776575,66.0002,0,8845603,8837683,7920,49574,5388719,0.377258347,,0,0,IP66,0,a/α
SRR23500549,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT241,USA,North America,Oral,,1,99.242125,53.2356375,0,7130422,7124269,6153,38415,7115059,0.49811753,,0,0,,0,a/α
SRR23500550,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT025,USA,North America,Oral,,1,99.7646625,35.5350125,0,4667401,4663264,4137,23653,9592842,0.671584419,,0,0,IP41,1,a/α
SRR23500551,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT240,USA,North America,Oral,,1,99.6953125,58.4231375,0,8186245,8174485,11760,36753,6060898,0.424316867,,0,0,IP64,1,a/α
SRR23500552,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT239,USA,North America,Oral,,1,99.6097125,50.03725,0,6903533,6893300,10233,29185,7351178,0.514647964,,0,0,IP64,0,a/α
SRR23500553,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT238,USA,North America,Oral,,4,99.518125,49.4450125,0,7773966,7744142,29824,46772,6463158,0.452478651,,0,0,IP62,1,a/α
SRR23500554,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT237,USA,North America,Oral,,4,99.5258625,59.1208125,0,8825157,8787266,37891,46802,5411937,0.378883814,,0,0,IP62,1,a/α
SRR23500555,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT236,USA,North America,Oral,,4,99.5226375,55.6136625,0,8437354,8400792,36562,44094,5802448,0.406223064,,0,0,IP62,0,a/α
SRR23500556,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT235,USA,North America,Oral,,1,99.7626125,64.3456625,0,9286982,9275233,11749,40457,4956457,0.346996156,,0,0,IP61,0,a/α
SRR23500558,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT233,USA,North America,Oral,,1,99.5664625,64.292775,0,7968410,7958891,9519,34666,6280820,0.439713367,,0,0,IP61,0,a/α
SRR23500559,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT232,USA,North America,Oral,,4,99.56905,65.1732375,0,8494980,8463445,31535,54564,5734352,0.401455737,,0,0,IP60,1,a/α
SRR23500560,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT231,USA,North America,Oral,,4,99.517375,69.094075,0,8645993,8614193,31800,55554,5582349,0.390814173,,0,0,IP60,1,a/α
SRR23500561,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT024,USA,North America,Oral,,1,99.7674375,41.25835,0,5823360,5818292,5068,31275,8429261,0.590123381,,0,0,IP41,0,a/α
SRR23500562,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT230,USA,North America,Oral,,4,99.576725,55.698575,0,8144115,8113390,30725,48490,6091291,0.426444648,,0,0,IP60,0,a/α
SRR23500563,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT229,USA,North America,Oral,,1,99.779025,51.1658625,0,7445678,7437166,8512,34328,6803890,0.476332928,,0,0,IP55,1,a/α
SRR23500564,PRJNA926612,Alkhars et al. 2024,Illumina NovaSeq 6000,FT228,USA,North America,Oral,,1,99.7174125,54.3934875,0,8212703,8203709,8994,36664,6034529,0.422470802,,0,0,IP55,1,a/α
